11	302	1000	626.9999	spritesheet	0
12	302	4700	626.9999	spritesheet	0
13	303	2160	-800	sun	0
14	0	3282.924	468.1852	spritesheet	6.285054
15	0	3090.812	468.6165	spritesheet	0.0001455953
16	0	2453.549	492.583	spritesheet	-9.424678
17	0	2275.177	400.8534	spritesheet	3.678651
18	0	586.5769	471.112	spritesheet	-1.570082
19	0	5184.682	471.1993	spritesheet	4.711836
20	0	3547.721	471.5102	spritesheet	54.97789
21	0	4809.856	471.257	spritesheet	-1.571407
22	1	902.2161	491.5313	spritesheet	7.314551E-05
23	0	2098.583	468.5388	spritesheet	6.283234
34	0	2745	-3	spritesheet	0
35	3	2621	-139	spritesheet	0
36	4	2443	-8	spritesheet	0
37	5	2418	195	spritesheet	0
38	7	2866	212	spritesheet	0
39	7	3041	25	spritesheet	0
40	8	3066	-132	spritesheet	0
41	6	3106	20	spritesheet	0
42	8	3058	175	spritesheet	0
43	9	3064	155	spritesheet	0
